"統計名：","市区町村データ 基礎データ（オリジナル）"
"表番号：","0000020102"
"表題：","Ｂ　自然環境"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/Ｂ　自然環境 コード","B1101","B1102","B1103","B1104","B1105","B1106","B1107","B1201","B120103"
"調査年 コード","調査年","地域 コード","地域","/Ｂ　自然環境","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","B1102_総面積（北方地域及び竹島を含む）【ｈａ】","B1103_可住地面積【ｈａ】","B1104_主要湖沼面積【ｈａ】","B1105_林野面積【ｈａ】","B1106_森林面積【ｈａ】","B1107_森林以外の草生地面積【ｈａ】","B1201_評価総地積（課税対象土地）【ｍ2】","B120103_評価総地積（宅地）【ｍ2】"
"2014100000","2014年度","01347","北海道 長万部町","","31,076","31,076","7,832","0","22,854","22,732","122","122,677,228","2,664,021"
"2014100000","2014年度","01361","北海道 江差町","","10,953","10,953","2,425","0","8,263","7,788","475","49,634,169","1,473,985"
"2014100000","2014年度","01362","北海道 上ノ国町","","54,771","54,771","4,261","0","50,487","49,561","926","67,969,800","1,101,638"
"2014100000","2014年度","01363","北海道 厚沢部町","","46,058","46,058","8,285","0","37,134","37,010","124","117,535,930","1,450,227"
"2014100000","2014年度","01364","北海道 乙部町","","16,259","16,259","2,161","0","13,738","13,274","464","44,210,451","728,542"
"2014100000","2014年度","01367","北海道 奥尻町","","14,297","14,297","1,977","0","12,332","10,930","1,402","45,853,085","484,792"
"2014100000","2014年度","01370","北海道 今金町","","56,825","56,825","11,285","0","44,670","44,636","34","230,207,770","2,124,025"
"2014100000","2014年度","01371","北海道 せたな町","","63,866","63,866","13,853","0","50,009","49,035","974","185,421,276","3,075,601"
"2014100000","2014年度","01391","北海道 島牧村","","43,718","43,718","4,406","0","36,758","35,939","819","48,927,503","419,137"
"2014100000","2014年度","01392","北海道 寿都町","","9,524","9,524","893","0","8,053","7,241","812","24,687,932","813,099"
"2014100000","2014年度","01393","北海道 黒松内町","","34,565","34,565","4,428","0","27,280","25,792","1,488","183,937,715","1,120,494"
"2014100000","2014年度","01394","北海道 蘭越町","","44,978","44,978","7,346","0","37,853","35,473","2,380","201,822,212","2,681,758"
"2014100000","2014年度","01395","北海道 ニセコ町","","19,713","19,713","5,280","0","14,559","13,370","1,189","110,241,753","2,046,748"
"2014100000","2014年度","01396","北海道 真狩村","","11,425","11,425","3,588","0","7,816","6,652","1,164","78,361,474","1,052,788"
"2014100000","2014年度","01397","北海道 留寿都村","","11,984","11,984","3,894","0","7,443","7,099","344","78,227,598","1,202,428"
"2014100000","2014年度","01398","北海道 喜茂別町","","18,941","18,941","3,086","0","15,617","14,588","1,029","109,425,355","863,954"
"2014100000","2014年度","01399","北海道 京極町","","23,149","23,149","3,640","0","19,411","17,253","2,158","103,172,571","1,109,934"
"2014100000","2014年度","01400","北海道 倶知安町","","26,134","26,134","7,058","0","19,245","16,112","3,133","133,301,019","4,214,631"
"2014100000","2014年度","01401","北海道 共和町","","30,491","30,491","8,939","0","21,821","20,280","1,541","140,874,631","2,306,737"
"2014100000","2014年度","01402","北海道 岩内町","","7,060","7,060","1,368","0","5,703","4,938","765","13,665,614","2,227,082"
"2014100000","2014年度","01403","北海道 泊村","","8,228","8,228","557","0","7,681","7,160","521","14,317,866","285,521"
"2014100000","2014年度","01404","北海道 神恵内村","","14,780","14,780","965","0","13,806","13,138","668","9,983,011","144,783"
"2014100000","2014年度","01405","北海道 積丹町","","23,814","23,814","5,074","0","18,739","16,325","2,414","46,086,215","783,126"
"2014100000","2014年度","01406","北海道 古平町","","18,836","18,836","2,667","0","16,154","15,667","487","29,604,217","687,959"
"2014100000","2014年度","01407","北海道 仁木町","","16,796","16,796","4,071","0","12,729","12,377","352","61,894,684","1,176,277"
"2014100000","2014年度","01408","北海道 余市町","","14,059","14,059","3,953","0","9,671","9,075","596","61,287,079","4,394,755"
"2014100000","2014年度","01409","北海道 赤井川村","","28,009","28,009","2,665","0","26,282","23,675","2,607","55,323,028","824,673"
"2014100000","2014年度","01423","北海道 南幌町","","8,136","8,136","7,994","0","142","141","1","59,481,277","3,624,621"
"2014100000","2014年度","01424","北海道 奈井江町","","8,819","8,819","3,962","0","4,886","4,860","26","34,744,347","2,112,591"
"2014100000","2014年度","01425","北海道 上砂川町","","3,998","3,998","544","0","3,454","3,454","0","18,530,117","603,813"
"2014100000","2014年度","01427","北海道 由仁町","","13,374","13,374","8,435","0","4,899","4,834","65","73,704,947","3,560,947"
"2014100000","2014年度","01428","北海道 長沼町","","16,852","16,852","15,007","0","1,850","1,834","16","121,070,705","5,722,792"
"2014100000","2014年度","01429","北海道 栗山町","","20,393","20,393","9,321","0","11,011","10,468","543","97,386,964","4,780,981"
"2014100000","2014年度","01430","北海道 月形町","","15,040","15,040","6,166","0","8,947","8,910","37","60,370,444","1,461,703"
"2014100000","2014年度","01431","北海道 浦臼町","","10,183","10,183","5,237","0","4,920","4,884","36","52,020,032","1,287,491"
"2014100000","2014年度","01432","北海道 新十津川町","","49,547","49,547","11,072","0","38,376","38,340","36","178,482,653","2,515,807"
"2014100000","2014年度","01433","北海道 妹背牛町","","4,864","4,864","4,861","0","3","1","2","36,112,729","1,226,547"
"2014100000","2014年度","01434","北海道 秩父別町","","4,718","4,718","4,425","0","290","272","18","37,205,874","1,259,678"
"2014100000","2014年度","01436","北海道 雨竜町","","19,115","19,115","6,990","0","12,064","12,063","1","55,002,925","1,203,660"
"2014100000","2014年度","01437","北海道 北竜町","","15,870","15,870","5,445","0","10,226","10,219","7","66,032,129","1,062,775"
"2014100000","2014年度","01438","北海道 沼田町","","28,335","28,335","7,881","0","20,520","20,508","12","128,003,546","1,588,251"
"2014100000","2014年度","01452","北海道 鷹栖町","","13,942","13,942","7,670","0","6,419","6,419","0","98,730,043","2,718,451"
"2014100000","2014年度","01453","北海道 東神楽町","","6,850","6,850","5,394","0","1,447","1,447","0","53,752,856","2,892,200"
