"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2021年06月21日"

"NA","欠測値"

"","","","","/項目 コード","A1101","","A1301","","A1302","","A1303","","E1101","","E2101","","E3101","","E4101","","I5101","","#A05101","","#A05302","","#A05303","","#F01201","","#F01202","","#F01203",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A1301_15歳未満人口【人】","注釈","A1302_15～64歳人口【人】","注釈","A1303_65歳以上人口【人】","注釈","E1101_幼稚園数【園】","注釈","E2101_小学校数【校】","注釈","E3101_中学校数【校】","注釈","E4101_高等学校数【校】","注釈","I5101_病院数【施設】","注釈","#A05101_人口増減率【％】","注釈","#A05302_転入率（日本人移動者）【％】","注釈","#A05303_転出率（日本人移動者）【％】","注釈","#F01201_第1次産業就業者比率【％】","注釈","#F01202_第2次産業就業者比率【％】","注釈","#F01203_第3次産業就業者比率【％】","注釈"
"2015100000","2015年度","01221","北海道 名寄市","","29,048","","3,453","","16,755","","8,794","","4","","10","","4","","2","","4","","-5.04","","4.26","","5.42","","11.59","","11.21","","74.09",""
"2015100000","2015年度","01222","北海道 三笠市","","9,076","","694","","4,199","","4,181","","1","","2","","2","","1","","2","","-11.20","","3.50","","4.80","","9.12","","19.62","","70.97",""
"2015100000","2015年度","01223","北海道 根室市","","26,917","","3,033","","15,533","","8,285","","4","","8","","7","","2","","3","","-7.82","","2.94","","4.04","","19.95","","22.79","","55.86",""
"2015100000","2015年度","01224","北海道 千歳市","","95,648","","13,573","","61,908","","19,979","","10","","17","","9","","2","","8","","2.18","","5.89","","5.81","","2.83","","17.94","","73.99",""
"2015100000","2015年度","01225","北海道 滝川市","","41,192","","4,456","","23,001","","13,353","","2","","6","","4","","3","","6","","-4.58","","4.86","","5.08","","4.91","","17.96","","73.31",""
"2015100000","2015年度","01226","北海道 砂川市","","17,694","","1,758","","9,355","","6,390","","1","","5","","2","","1","","2","","-7.15","","3.51","","4.43","","5.98","","22.67","","68.98",""
"2015100000","2015年度","01227","北海道 歌志内市","","3,585","","217","","1,696","","1,672","","1","","1","","1","","0","","1","","-18.28","","1.92","","4.38","","2.60","","25.19","","71.98",""
"2015100000","2015年度","01228","北海道 深川市","","21,909","","1,995","","11,281","","8,616","","2","","6","","2","","2","","5","","-7.59","","3.47","","4.02","","17.42","","12.66","","68.81",""
"2015100000","2015年度","01229","北海道 富良野市","","22,936","","2,684","","13,092","","7,096","","4","","9","","6","","2","","3","","-5.45","","3.85","","4.77","","20.27","","13.39","","64.04",""
"2015100000","2015年度","01230","北海道 登別市","","49,625","","5,312","","26,948","","16,602","","4","","8","","5","","1","","6","","-3.69","","3.88","","4.32","","1.23","","24.02","","73.07",""
"2015100000","2015年度","01231","北海道 恵庭市","","69,702","","9,132","","42,897","","17,465","","8","","8","","5","","2","","7","","0.46","","4.48","","4.10","","3.83","","20.70","","71.43",""
"2015100000","2015年度","01233","北海道 伊達市","","34,995","","3,966","","18,910","","12,107","","2","","10","","5","","2","","3","","-3.54","","3.60","","3.67","","10.26","","17.95","","70.83",""
"2015100000","2015年度","01234","北海道 北広島市","","59,064","","7,213","","34,586","","17,103","","8","","9","","8","","3","","5","","-2.14","","4.01","","4.11","","2.13","","17.06","","76.86",""
"2015100000","2015年度","01235","北海道 石狩市","","57,436","","7,415","","32,732","","17,229","","4","","13","","8","","2","","6","","-3.39","","3.92","","3.87","","4.81","","22.53","","67.54",""
"2015100000","2015年度","01236","北海道 北斗市","","46,390","","6,353","","27,723","","12,297","","4","","11","","5","","3","","0","","-3.42","","3.59","","4.02","","7.82","","22.29","","66.84",""
"2015100000","2015年度","01303","北海道 当別町","","17,278","","1,547","","10,453","","5,210","","1","","3","","3","","1","","1","","-7.93","","3.69","","4.93","","15.47","","18.45","","64.20",""
"2015100000","2015年度","01304","北海道 新篠津村","","3,329","","357","","1,872","","1,100","","0","","1","","1","","0","","0","","-5.29","","3.42","","3.24","","42.96","","7.01","","41.49",""
"2015100000","2015年度","01331","北海道 松前町","","7,337","","542","","3,421","","3,372","","0","","3","","1","","1","","1","","-16.13","","3.38","","4.65","","11.14","","33.47","","55.34",""
"2015100000","2015年度","01332","北海道 福島町","","4,422","","331","","2,238","","1,853","","1","","2","","1","","1","","0","","-13.53","","2.26","","4.12","","14.37","","38.65","","46.77",""
"2015100000","2015年度","01333","北海道 知内町","","4,653","","508","","2,553","","1,592","","1","","3","","1","","1","","0","","-8.30","","2.79","","4.38","","26.05","","28.59","","44.57",""
"2015100000","2015年度","01334","北海道 木古内町","","4,547","","307","","2,236","","2,004","","0","","1","","1","","0","","1","","-14.87","","2.53","","3.85","","10.26","","28.63","","61.11",""
"2015100000","2015年度","01337","北海道 七飯町","","28,120","","3,384","","15,672","","9,058","","2","","8","","4","","1","","2","","-1.21","","3.84","","3.84","","10.10","","19.64","","67.18",""
"2015100000","2015年度","01343","北海道 鹿部町","","4,226","","423","","2,285","","1,518","","1","","1","","1","","0","","0","","-11.35","","3.22","","5.13","","39.21","","22.98","","37.77",""
"2015100000","2015年度","01345","北海道 森町","","15,946","","1,795","","8,625","","5,526","","2","","9","","2","","1","","3","","-10.71","","2.53","","4.08","","23.28","","28.90","","47.33",""
"2015100000","2015年度","01346","北海道 八雲町","","17,252","","1,967","","9,895","","5,369","","2","","11","","5","","2","","3","","-8.70","","3.87","","5.32","","20.69","","18.96","","59.88",""
"2015100000","2015年度","01347","北海道 長万部町","","5,926","","507","","3,229","","2,190","","1","","2","","1","","1","","1","","-7.20","","9.70","","9.38","","19.77","","21.92","","58.20",""
"2015100000","2015年度","01361","北海道 江差町","","8,248","","818","","4,589","","2,839","","2","","3","","2","","1","","2","","-8.40","","5.98","","7.94","","10.46","","15.19","","73.55",""
"2015100000","2015年度","01362","北海道 上ノ国町","","4,876","","506","","2,427","","1,943","","0","","3","","1","","1","","0","","-10.17","","2.44","","4.02","","17.13","","28.23","","54.32",""
"2015100000","2015年度","01363","北海道 厚沢部町","","4,049","","440","","2,050","","1,556","","0","","4","","3","","0","","1","","-8.17","","3.04","","3.88","","32.94","","14.60","","51.00",""
"2015100000","2015年度","01364","北海道 乙部町","","3,906","","385","","1,943","","1,578","","0","","3","","1","","0","","1","","-11.39","","3.05","","3.64","","15.62","","27.77","","56.39",""
"2015100000","2015年度","01367","北海道 奥尻町","","2,690","","253","","1,442","","995","","2","","2","","2","","1","","1","","-11.31","","5.84","","7.62","","11.21","","12.69","","75.72",""
"2015100000","2015年度","01370","北海道 今金町","","5,628","","566","","2,965","","2,097","","0","","2","","1","","0","","1","","-9.02","","3.07","","3.98","","29.03","","13.66","","56.35",""
"2015100000","2015年度","01371","北海道 せたな町","","8,473","","749","","4,135","","3,589","","1","","5","","3","","1","","2","","-11.65","","2.68","","3.73","","26.98","","15.77","","57.23",""
"2015100000","2015年度","01391","北海道 島牧村","","1,499","","118","","773","","608","","0","","1","","1","","0","","0","","-15.83","","3.20","","5.40","","25.25","","14.06","","60.55",""
"2015100000","2015年度","01392","北海道 寿都町","","3,137","","319","","1,658","","1,160","","0","","2","","1","","1","","0","","-8.89","","4.27","","5.39","","9.83","","22.04","","67.62",""
"2015100000","2015年度","01393","北海道 黒松内町","","3,082","","348","","1,583","","1,151","","0","","2","","2","","0","","1","","-5.17","","4.38","","5.61","","14.43","","11.80","","73.63",""
